date,open,high,low,close,volume,announcement_date
2023-05-15,412.22,413.43,410.23,413.01,54289383.0,2023-06-14
2023-05-16,411.86,412.815,410.24,410.25,57705495.0,2023-06-14
2023-05-17,412.35,415.855,410.635,415.23,87286957.0,2023-06-14
2023-05-18,414.9,419.67,414.67,419.23,97177195.0,2023-06-14
2023-05-19,420.17,420.72,417.35,418.62,103793317.0,2023-06-14
2023-05-22,418.64,420.39,417.35,418.79,60745399.0,2023-06-14
2023-05-23,417.08,418.722,413.68,414.09,86383493.0,2023-06-14
2023-05-24,412.42,412.82,409.8795,411.09,89213678.0,2023-06-14
2023-05-25,414.74,416.16,412.4101,414.65,90961606.0,2023-06-14
2023-05-26,415.33,420.77,415.25,420.02,93829975.0,2023-06-14
2023-05-30,422.03,422.58,418.735,420.18,72215960.0,2023-06-14
2023-05-31,418.28,419.22,416.22,417.85,106350372.0,2023-06-14
2023-06-01,418.09,422.92,416.79,421.82,88865018.0,2023-06-14
2023-06-02,424.5,428.74,423.95,427.92,91426171.0,2023-06-14
2023-06-05,428.28,429.62,426.37,427.1,65460158.0,2023-06-14
2023-06-06,426.67,428.5772,425.99,428.03,64022175.0,2023-06-14
2023-06-07,428.44,429.62,426.11,426.55,85373275.0,2023-06-14
2023-06-08,426.62,429.6,425.82,429.13,61952842.0,2023-06-14
2023-06-09,429.96,431.99,428.87,429.9,85647268.0,2023-06-14
2023-06-12,430.92,433.88,430.17,433.8,76256703.0,2023-06-14
2023-06-13,435.32,437.33,434.63,436.66,95899704.0,2023-06-14
2023-06-14,437.01,439.0612,433.59,437.18,100612080.0,2023-06-14
2023-06-15,436.33,443.9,436.23,442.6,110303091.0,2023-06-14
2023-06-16,443.02,443.6078,438.97,439.46,114165849.0,2023-06-14
2023-06-20,437.45,438.37,435.03,437.18,76160359.0,2023-06-14
2023-06-21,436.16,436.99,434.33,434.94,76982251.0,2023-06-14
2023-06-22,433.95,436.62,433.6,436.51,70637175.0,2023-06-14
2023-06-23,432.93,435.06,432.47,433.21,92074537.0,2023-06-14
2023-06-26,432.62,434.61,431.19,431.44,72823560.0,2023-06-14
2023-06-27,432.35,436.81,431.88,436.17,72813699.0,2023-06-14
2023-06-28,435.05,437.44,434.41,436.39,75635976.0,2023-06-14
2023-06-29,435.96,438.28,435.54,438.11,67882304.0,2023-06-14
2023-06-30,441.44,444.3,441.11,443.28,104964019.0,2023-06-14
2023-07-03,442.92,444.08,442.63,443.79,32793378.0,2023-06-14
2023-07-05,441.91,443.889,441.9,443.13,58418432.0,2023-06-14
2023-07-06,439.42,440.1,437.06,439.66,80658302.0,2023-06-14
2023-07-07,438.63,442.64,438.3,438.55,86134178.0,2023-06-14
2023-07-10,438.18,439.84,437.585,439.66,62443501.0,2023-06-14
2023-07-11,440.45,442.97,439.44,442.46,64463752.0,2023-06-14
2023-07-12,446.39,447.4799,444.91,446.02,91924527.0,2023-06-14
2023-07-13,447.9,450.38,447.45,449.56,72425241.0,2023-06-14
2023-07-14,450.475,451.36,448.49,449.28,69815823.0,2023-06-14
2023-06-26,432.62,434.61,431.19,431.44,72823560.0,2023-07-26
2023-06-27,432.35,436.81,431.88,436.17,72813699.0,2023-07-26
2023-06-28,435.05,437.44,434.41,436.39,75635976.0,2023-07-26
2023-06-29,435.96,438.28,435.54,438.11,67882304.0,2023-07-26
2023-06-30,441.44,444.3,441.11,443.28,104964019.0,2023-07-26
2023-07-03,442.92,444.08,442.63,443.79,32793378.0,2023-07-26
2023-07-05,441.91,443.889,441.9,443.13,58418432.0,2023-07-26
2023-07-06,439.42,440.1,437.06,439.66,80658302.0,2023-07-26
2023-07-07,438.63,442.64,438.3,438.55,86134178.0,2023-07-26
2023-07-10,438.18,439.84,437.585,439.66,62443501.0,2023-07-26
2023-07-11,440.45,442.97,439.44,442.46,64463752.0,2023-07-26
2023-07-12,446.39,447.4799,444.91,446.02,91924527.0,2023-07-26
2023-07-13,447.9,450.38,447.45,449.56,72425241.0,2023-07-26
2023-07-14,450.475,451.36,448.49,449.28,69815823.0,2023-07-26
2023-07-17,449.13,451.93,449.08,450.84,52680221.0,2023-07-26
2023-07-18,450.5,454.86,450.0484,454.19,80744448.0,2023-07-26
2023-07-19,455.01,456.43,454.1119,455.2,65891688.0,2023-07-26
2023-07-20,454.17,455.1,451.44,452.18,70591642.0,2023-07-26
2023-07-21,453.96,454.165,452.17,452.18,71275618.0,2023-07-26
2023-07-24,453.37,455.04,452.298,454.2,54023382.0,2023-07-26
2023-07-25,453.92,456.735,453.87,455.44,55191240.0,2023-07-26
2023-07-26,454.47,456.99,453.38,455.51,71052885.0,2023-07-26
2023-07-27,459.02,459.44,451.55,452.49,92194375.0,2023-07-26
2023-07-28,455.88,457.78,452.4918,456.92,80011790.0,2023-07-26
2023-07-31,457.41,458.16,456.045,457.79,62040449.0,2023-07-26
2023-08-01,456.27,457.25,455.49,456.48,55502199.0,2023-07-26
2023-08-02,453.25,453.52,449.3499,450.13,93933369.0,2023-07-26
2023-08-03,448.04,450.79,447.37,448.84,64419692.0,2023-07-26
2023-08-04,450.72,452.895,446.27,446.81,100128902.0,2023-07-26
2023-08-07,448.71,450.865,447.99,450.71,58357464.0,2023-07-26
2023-08-08,448.08,450.6952,445.2705,448.75,71361324.0,2023-07-26
2023-08-09,449.03,449.1999,444.96,445.75,78789575.0,2023-07-26
2023-08-10,448.19,451.7,444.7,445.91,93005495.0,2023-07-26
2023-08-11,443.97,446.7007,443.345,445.65,68690902.0,2023-07-26
2023-08-14,444.7,448.11,444.38,448.11,47867441.0,2023-07-26
2023-08-15,446.27,446.64,442.3,442.89,75707534.0,2023-07-26
2023-08-16,442.46,444.18,439.53,439.64,80107206.0,2023-07-26
2023-08-17,441.16,441.43,435.75,436.29,95711315.0,2023-07-26
2023-08-18,433.37,437.57,433.01,436.5,98851960.0,2023-07-26
2023-08-21,437.55,440.11,435.32,439.34,68718957.0,2023-07-26
2023-08-22,441.18,441.18,437.57,438.15,65062861.0,2023-07-26
2023-08-23,439.25,443.67,439.1,443.03,68441021.0,2023-07-26
2023-08-24,444.69,445.22,436.855,436.89,88517272.0,2023-07-26
2023-08-25,438.68,441.3,435.0,439.97,102325103.0,2023-07-26
2023-08-21,437.55,440.11,435.32,439.34,68718957.0,2023-09-20
2023-08-22,441.18,441.18,437.57,438.15,65062861.0,2023-09-20
2023-08-23,439.25,443.67,439.1,443.03,68441021.0,2023-09-20
2023-08-24,444.69,445.22,436.855,436.89,88517272.0,2023-09-20
2023-08-25,438.68,441.3,435.0,439.97,102325103.0,2023-09-20
2023-08-28,442.24,443.4,439.9728,442.76,61595393.0,2023-09-20
2023-08-29,442.65,449.45,442.46,449.16,83081916.0,2023-09-20
2023-08-30,449.51,451.67,448.78,451.01,69053911.0,2023-09-20
2023-08-31,451.65,452.83,450.16,450.35,66084563.0,2023-09-20
2023-09-01,453.17,453.67,449.68,451.19,58944098.0,2023-09-20
2023-09-05,450.73,451.06,449.17,449.24,55166210.0,2023-09-20
2023-09-06,448.4,448.51,443.81,446.22,70758512.0,2023-09-20
2023-09-07,443.11,445.55,442.75,444.85,70355426.0,2023-09-20
2023-09-08,444.9,447.11,444.53,445.52,62068437.0,2023-09-20
2023-09-11,448.24,448.77,446.4699,448.45,60180118.0,2023-09-20
2023-09-12,446.95,448.53,445.39,445.99,67565422.0,2023-09-20
2023-09-13,446.22,447.71,445.0793,446.51,60199272.0,2023-09-20
2023-09-14,449.07,451.08,447.715,450.36,83430814.0,2023-09-20
2023-09-15,447.14,447.48,442.92,443.37,111848859.0,2023-09-20
2023-09-18,443.05,444.97,442.56,443.63,55752213.0,2023-09-20
2023-09-19,442.68,443.29,439.94,442.71,66514648.0,2023-09-20
2023-09-20,444.01,444.435,438.43,438.64,82562602.0,2023-09-20
2023-09-21,435.7,435.97,431.23,431.39,104095826.0,2023-09-20
2023-09-22,432.45,434.1,429.99,430.42,100829684.0,2023-09-20
2023-09-25,429.17,432.27,428.72,432.23,70874534.0,2023-09-20
2023-09-26,429.09,429.82,425.02,425.88,96168436.0,2023-09-20
2023-09-27,427.09,427.67,422.29,426.05,104705847.0,2023-09-20
2023-09-28,425.48,430.2499,424.87,428.52,92258308.0,2023-09-20
2023-09-29,431.67,431.85,425.91,427.48,115111319.0,2023-09-20
2023-10-02,426.62,428.6,424.46,427.31,83798599.0,2023-09-20
2023-10-03,425.06,427.3729,420.18,421.59,103760607.0,2023-09-20
2023-10-04,422.07,425.4299,420.56,424.66,87452968.0,2023-09-20
2023-10-05,424.36,425.37,421.1701,424.5,70142744.0,2023-09-20
2023-10-06,421.97,431.125,420.6,429.54,113273309.0,2023-09-20
2023-10-09,427.58,432.88,427.0101,432.29,80374362.0,2023-09-20
2023-10-10,432.94,437.22,432.53,434.54,78607268.0,2023-09-20
2023-10-11,435.64,436.58,433.18,436.32,62451736.0,2023-09-20
2023-10-12,436.95,437.335,431.23,433.66,81154230.0,2023-09-20
2023-10-13,435.21,436.45,429.88,431.5,95201132.0,2023-09-20
2023-10-16,433.82,437.14,433.57,436.04,75433194.0,2023-09-20
2023-10-17,432.81,438.14,432.45,436.02,75324708.0,2023-09-20
2023-10-18,434.19,435.18,429.09,430.21,93559798.0,2023-09-20
2023-10-19,430.95,432.82,425.725,426.43,121322957.0,2023-09-20
2023-10-20,425.98,426.54,421.08,421.19,123919874.0,2023-09-20
2023-10-02,426.62,428.6,424.46,427.31,83798599.0,2023-11-01
2023-10-03,425.06,427.3729,420.18,421.59,103760607.0,2023-11-01
